"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"EOL","ENERGY ONE LIMITED","Software & Services","15/01/2007",113499206
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","Capital Goods","23/10/2000",190928147
"EP1","E&P FINANCIAL GROUP LIMITED","Financial Services","14/05/2018",99825638
"EPM","ECLIPSE METALS LIMITED.","Energy","17/02/2011",44617315
"EPN","EPSILON HEALTHCARE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",7508850
"EPX","EP&T GLOBAL LIMITED","Software & Services","12/05/2021",14269239
"EPY","EARLYPAY LTD","Financial Services","23/02/2010",55086451
"EQE","EQUUS MINING LIMITED","Materials","12/12/1995","SUSPENDED"
"EQN","EQUINOX RESOURCES LIMITED.","Materials","13/10/2021",12415000
"EQR","EQ RESOURCES LIMITED","Materials","06/06/2006",98790625
"EQS","EQUITY STORY GROUP LTD","Financial Services","03/05/2022",5563660
"EQT","EQT HOLDINGS LIMITED","Financial Services","06/08/1985",689166036
"EQX","EQUATORIAL RESOURCES LIMITED","Materials","14/05/1987",20780983
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","Energy","19/11/1980",974525164
"ERD","EROAD LIMITED","Technology Hardware & Equipment","24/09/2020",152738387
"ERG","ENECO REFRESH LTD","Food, Beverage & Tobacco","29/03/2006",3540659
"ERL","EMPIRE RESOURCES LIMITED","Materials","01/02/2007",4451740
"ERM","EMMERSON RESOURCES LIMITED","Materials","17/12/2007",36495556
"ERW","ERRAWARRA RESOURCES LTD","Materials","14/12/2020",9680640
"ESK","ETHERSTACK PLC","Software & Services","07/09/2012",50722596
"ESR","ESTRELLA RESOURCES LIMITED","Materials","09/05/2012",13352147
"ESS","ESSENTIAL METALS LIMITED","Materials","04/12/2003",131741384
"ETM","ENERGY TRANSITION MINERALS LTD","Materials","20/06/2006",77277409
"ETR","ENTYR LIMITED","Commercial & Professional Services","02/11/2006",17791685
"EUR","EUROPEAN LITHIUM LIMITED","Materials","02/12/2010",125481526
"EV1","EVOLUTION ENERGY MINERALS LIMITED","Materials","16/11/2021",37462500
"EVE","EVE HEALTH GROUP LIMITED.","Financial Services","08/04/2004",5274483
"EVG","EVION GROUP NL","Materials","19/01/2018",13176704
"EVN","EVOLUTION MINING LIMITED","Materials","20/08/2002",6624408912
"EVO","EMBARK EARLY EDUCATION LIMITED","Consumer Services","05/12/2014",107695902
"EVR","EV RESOURCES LTD","Materials","07/12/1994",12167793
"EVS","ENVIROSUITE LIMITED","Software & Services","11/02/2008",112300203
"EVT","EVT LIMITED","Media & Entertainment","30/06/1962",1935932508
"EVZ","EVZ LIMITED","Capital Goods","26/04/1985",18093288
"EWC","ENERGY WORLD CORPORATION LTD","Utilities","08/12/1988","SUSPENDED"
"EX1","EXOPHARM LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/12/2018",3954808
"EXL","ELIXINOL WELLNESS LIMITED","Household & Personal Products","08/01/2018",5940888
"EXP","EXPERIENCE CO LIMITED","Consumer Services","27/03/2015",158592691
"EXR","ELIXIR ENERGY LIMITED","Energy","19/07/2004",79206171
"EYE","NOVA EYE MEDICAL LIMITED","Health Care Equipment & Services","12/10/1987",45678694
"EZL","EUROZ HARTLEYS GROUP LIMITED","Financial Services","02/08/1971",186563079
"EZZ","EZZ LIFE SCIENCE HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/03/2021",21566025
"FAL","FALCON METALS LTD","Materials","22/12/2021",38055000
"FAR","FAR LIMITED","Energy","23/01/1986",74086626
"FAU","FIRST AU LIMITED","Materials","01/01/1970",5081976
"FBM","FUTURE BATTERY MINERALS LIMITED","Materials","01/09/2011",47062965
"FBR","FBR LTD","Capital Goods","08/02/2001",77531545
"FBU","FLETCHER BUILDING LIMITED","Capital Goods","26/03/2001",4032674519
"FCL","FINEOS CORPORATION HOLDINGS PLC","Software & Services","16/08/2019",756157393
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","Software & Services","11/05/2011",78153804
"FDR","FINDER ENERGY HOLDINGS LIMITED","Energy","08/04/2022",11182500
"FDV","FRONTIER DIGITAL VENTURES LIMITED","Media & Entertainment","26/08/2016",199266789
"FEG","FAR EAST GOLD LTD","Materials","28/03/2022",70158795
"FEX","FENIX RESOURCES LTD","Materials","04/08/2008",196590195
"FFF","FORBIDDEN FOODS LIMITED","Food, Beverage & Tobacco","31/08/2020",2787880
"FFG","FATFISH GROUP LIMITED","Financial Services","23/11/1995",18499381
"FFI","FFI HOLDINGS LIMITED","Food, Beverage & Tobacco","15/01/1987",37768888
"FFT","FUTURE FIRST TECHNOLOGIES LTD","Commercial & Professional Services","02/12/2013",5003856
"FFX","FIREFINCH LIMITED","Materials","06/12/2006","SUSPENDED"
"FG1","FLYNN GOLD LIMITED","Materials","17/06/2021",7474265
"FGG","FUTURE GENERATION GLOBAL LIMITED","Not Applic","10/09/2015",477533604
"FGL","FRUGL GROUP LIMITED","Software & Services","10/08/2004",14340930
"FGR","FIRST GRAPHENE LIMITED","Materials","08/08/1994",48987038
"FGX","FUTURE GENERATION AUSTRALIA LIMITED","Not Applic","06/03/1997",456822280
"FHE","FRONTIER ENERGY LIMITED","Materials","18/12/2009",100164198
"FHS","FREEHILL MINING LIMITED.","Materials","16/01/2017","SUSPENDED"
"FID","FIDUCIAN GROUP LIMITED","Financial Services","09/02/2015",183514542
"FIN","FIN RESOURCES LIMITED","Materials","02/11/1989",9315530
"FLC","FLUENCE CORPORATION LIMITED","Capital Goods","18/12/2007",104088645
"FLN","FREELANCER LIMITED","Commercial & Professional Services","15/11/2013",115189725
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","Consumer Services","01/12/1995",4828195112
"FLX","FELIX GROUP HOLDINGS LTD","Software & Services","12/01/2021",21157161
"FME","FUTURE METALS NL","Energy","16/08/2007",19007386
"FMG","FORTESCUE METALS GROUP LTD","Materials","19/03/1987",69399869252
"FML","FOCUS MINERALS LTD","Materials","13/09/2000",60177315
"FMS","FLINDERS MINES LIMITED","Materials","20/02/2002",81047317
"FND","FINDI LIMITED","Software & Services","08/08/2001",16224082
"FNX","FINEXIA FINANCIAL GROUP LIMITED","Financial Services","21/12/2006",10552427
"FOR","FORAGER AUSTRALIAN SHARES FUND","Not Applic","16/12/2016",125905971
"FOS","FOS CAPITAL LTD","Capital Goods","07/06/2021",9954136
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","Not Applic","22/03/2017",24359284
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","Health Care Equipment & Services","21/11/2001",13126720148
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","Not Applic","10/10/2017",16527631
"FPR","FLEETPARTNERS GROUP LIMITED","Financial Services","22/04/2015",684171090
"FRB","FIREBIRD METALS LIMITED","Materials","18/03/2021",9499750
"FRE","FIREBRICK PHARMA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/01/2022",34368114
"FRI","FINBAR GROUP LIMITED","Real Estate Management & Development","05/08/1994",185043737
"FRM","FARM PRIDE FOODS LIMITED","Food, Beverage & Tobacco","19/12/1997",20140100
"FRS","FORRESTANIA RESOURCES LIMITED","Materials","30/09/2021",11656390
"FRX","FLEXIROAM LIMITED","Telecommunication Services","16/06/2015",23225710
"FSA","FSA GROUP LIMITED","Financial Services","11/01/2001",122336824
"FSF","FONTERRA SHAREHOLDERS' FUND","Food, Beverage & Tobacco","30/11/2012",344789262
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","Telecommunication Services","26/04/2005",31313406
"FSI","FLAGSHIP INVESTMENTS LIMITED","Not Applic","20/12/2000",46284501
"FTC","FINTECH CHAIN LIMITED","Financial Services","27/11/2012",10412313
"FTL","FIRETAIL RESOURCES LIMITED","Materials","13/04/2022",8277500
"FTZ","FERTOZ LIMITED","Materials","02/09/2013",24752143
"FWD","FLEETWOOD LIMITED","Consumer Durables & Apparel","15/04/1987",207426074
"FXG","FELIX GOLD LIMITED","Materials","31/01/2022",20980587
"FYI","FYI RESOURCES LIMITED","Materials","20/01/1994",34819171
"FZR","FITZROY RIVER CORPORATION LTD","Energy","04/03/1998",18891994
"G1A","GALENA MINING LIMITED","Materials","07/09/2017",79019712
"G50","GOLD 50 LIMITED","Materials","06/08/2021",18900375
"G6M","GROUP 6 METALS LIMITED","Materials","21/09/1967",129897271
"G88","GOLDEN MILE RESOURCES LTD","Materials","19/06/2017",15481307
"GAL","GALILEO MINING LTD","Materials","29/05/2018",111658084
"GAP","GALE PACIFIC LIMITED","Consumer Durables & Apparel","14/12/2000",53896643
"GAS","STATE GAS LIMITED","Energy","10/10/2017",38221492
"GBE","GLOBE METALS & MINING LIMITED","Materials","09/12/2005",32939965
"GBR","GREAT BOULDER RESOURCES LIMITED","Materials","18/11/2016",38827789
"GBZ","GBM RESOURCES LIMITED","Materials","24/10/2007",13551146
"GC1","GLENNON SMALL COMPANIES LIMITED","Not Applic","21/08/2015",28497543
"GCI","GRYPHON CAPITAL INCOME TRUST","Not Applic","25/05/2018",475381559
"GCM","GREEN CRITICAL MINERALS LIMITED","Materials","15/11/2007",15783658
"GCR","GOLDEN CROSS RESOURCES LTD","Materials","27/03/1996",4389024
"GCX","GCX METALS LIMITED","Energy","20/12/2012",5573361
"GCY","GASCOYNE RESOURCES LIMITED","Materials","11/12/2009",175402621
"GDA","GOOD DRINKS AUSTRALIA LTD","Food, Beverage & Tobacco","13/12/2006",64169163
"GDC","GLOBAL DATA CENTRE GROUP","Not Applic","31/10/2019",128272848
"GDF","GARDA PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","02/07/2015",282908461
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","Insurance","11/12/2007",247713336
"GDI","GDI PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","17/12/2013",356166883
"GED","GOLDEN DEEPS LIMITED.","Materials","04/12/1986",12707494
"GEM","G8 EDUCATION LIMITED","Consumer Services","05/12/2007",866171563
"GEN","GENMIN LIMITED","Materials","10/03/2021",81230982
"GES","GENESIS RESOURCES LIMITED","Materials","27/10/2009",3131365
"GFL","GLOBAL MASTERS FUND LIMITED","Not Applic","16/05/2006",25735582
"GFN","GEFEN INTERNATIONAL A.I. LTD","Software & Services","21/07/2021",513119
"GGE","GRAND GULF ENERGY LIMITED","Energy","20/03/1998",18427717
"GGX","GAS2GRID LIMITED","Energy","13/05/2005",8178204
"GHY","GOLD HYDROGEN LIMITED","Energy","13/01/2023",44800000
"GIB","GIBB RIVER DIAMONDS LIMITED","Materials","01/07/2008",7825849
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","Materials","06/05/2021",446844302
"GLA","GLADIATOR RESOURCES LIMITED","Materials","27/06/2006",7646379
"GLB","GLOBE INTERNATIONAL LIMITED","Consumer Durables & Apparel","24/05/2001",89561847
"GLE","GLG CORP LTD","Consumer Durables & Apparel","14/12/2005",16302000
"GLH","GLOBAL HEALTH LIMITED","Health Care Equipment & Services","04/04/2000",8707430
"GLL","GALILEE ENERGY LIMITED","Energy","15/02/1996",38931812
"GLN","GALAN LITHIUM LIMITED","Materials","08/06/2011",277955209
"GLV","GLOBAL OIL & GAS LIMITED","Energy","25/05/2005",5571794
"GMD","GENESIS MINERALS LIMITED","Materials","02/08/2007",1491763154
"GMG","GOODMAN GROUP","Equity Real Estate Investment Trusts (REITs)","02/02/2005",38637145800
"GML","GATEWAY MINING LIMITED","Materials","02/08/1971",10653342
"GMN","GOLD MOUNTAIN LIMITED","Materials","02/09/2011",17729394
"GMR","GOLDEN RIM RESOURCES LTD","Materials","13/08/1987",20114005
"GNC","GRAINCORP LIMITED","Consumer Staples Distribution & Retail","30/03/1998",1821616416
"GNE","GENESIS ENERGY LIMITED","Utilities","17/04/2014",2631221749
"GNG","GR ENGINEERING SERVICES LIMITED","Materials","19/04/2011",339291229
"GNM","GREAT NORTHERN MINERALS LIMITED","Materials","05/03/2008",4948130
"GNP","GENUSPLUS GROUP LTD","Capital Goods","14/12/2020",213269938
"GNX","GENEX POWER LIMITED","Utilities","08/07/2015",221628342
"GO2","THE GO2 PEOPLE LTD","Commercial & Professional Services","31/10/2017","SUSPENDED"
"GOR","GOLD ROAD RESOURCES LIMITED","Materials","04/07/2006",1714690012
"GOW","GOWING BROS LIMITED","Financial Services","31/07/1962",133277813
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","Equity Real Estate Investment Trusts (REITs)","04/07/2007",2140939152
"GPR","GEOPACIFIC RESOURCES LTD","Materials","09/05/2006",16423822
"GPS","GPS ALLIANCE HOLDINGS LIMITED","Real Estate Management & Development","02/07/2013","SUSPENDED"
"GPT","GPT GROUP","Equity Real Estate Investment Trusts (REITs)","01/04/1971",8122048303
"GQG","GQG PARTNERS INC.","Financial Services","26/10/2021",4872128966
"GRE","GREENTECH METALS LIMITED","Materials","04/01/2022",27922222
"GRL","GODOLPHIN RESOURCES LIMITED","Materials","18/12/2019",5686517
"GRR","GRANGE RESOURCES LIMITED.","Materials","27/03/1986",659683058
"GRV","GREENVALE ENERGY LTD","Energy","28/07/1971",43059346
"GRX","GREENX METALS LIMITED","Materials","06/09/1993",250275600
"GSM","GOLDEN STATE MINING LIMITED","Materials","08/11/2018",7070266
"GSN","GREAT SOUTHERN MINING LIMITED","Materials","14/04/2011",15733820
"GSR","GREENSTONE RESOURCES LIMITED","Materials","12/12/2000",19504998
"GSS","GENETIC SIGNATURES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","31/03/2015",90345777
"GT1","GREEN TECHNOLOGY METALS LIMITED","Materials","10/11/2021",179494765
"GTE","GREAT WESTERN EXPLORATION LIMITED.","Materials","05/06/2007",10613321
"GTG","GENETIC TECHNOLOGIES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/07/1987",28854145
"GTI","GRATIFII LIMITED","Software & Services","17/07/2008",13347703
"GTK","GENTRACK GROUP LIMITED","Software & Services","25/06/2014",391661212
"GTN","GTN LIMITED","Media & Entertainment","01/06/2016",76555118
"GTR","GTI ENERGY LTD","Materials","10/08/2007",13634279
"GUD","G.U.D. HOLDINGS LIMITED","Automobiles & Components","30/06/1962",1325819089
"GUL","GULLEWA LIMITED","Materials","19/06/1980",10767521
"GVF","GLOBAL VALUE FUND LIMITED","Not Applic","21/07/2014",196742928
"GW1","GREENWING RESOURCES LTD","Materials","20/10/2005","SUSPENDED"
"GWA","GWA GROUP LIMITED.","Capital Goods","20/05/1993",482673306
"GWR","GWR GROUP LIMITED","Materials","24/12/2004",26018549
"H2G","GREENHY2 LIMITED","Commercial & Professional Services","04/12/1980",6281337
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","Financial Services","26/04/2022",12949521
"HAR","HARANGA RESOURCES LIMITED.","Materials","27/01/2022",8416840
"HAS","HASTINGS TECHNOLOGY METALS LTD","Materials","20/02/2008",160303048
"HAV","HAVILAH RESOURCES LIMITED","Materials","21/03/2002",75993410
"HAW","HAWTHORN RESOURCES LIMITED","Materials","03/07/1986",47739725
"HCD","HYDROCARBON DYNAMICS LIMITED","Energy","21/04/2006",6496659
"HCF","H&G HIGH CONVICTION LIMITED","Not Applic","25/10/2022",25811211
"HCH","HOT CHILI LIMITED","Materials","03/05/2010",172001097
"HCT","HOLISTA COLLTECH LIMITED","Household & Personal Products","26/02/2004",3066801
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","Equity Real Estate Investment Trusts (REITs)","06/09/2021",793567035
"HDN","HOMECO DAILY NEEDS REIT","Equity Real Estate Investment Trusts (REITs)","23/11/2020",2478870089
"HE8","HELIOS ENERGY LTD","Energy","20/10/2010",190095609
"HFR","HIGHFIELD RESOURCES LIMITED","Materials","07/02/2012",196091867
"HFY","HUBIFY LIMITED","Telecommunication Services","12/01/2017",13891816
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","Banks","01/11/2018",1163839448
"HGL","HUDSON INVESTMENT GROUP LIMITED","Real Estate Management & Development","09/06/1994",11871987
"HGO","HILLGROVE RESOURCES LIMITED","Materials","22/07/1994",133837971
"HGV","HYGROVEST LIMITED","Not Applic","22/01/2015",10515530
"HHR","HARTSHEAD RESOURCES NL","Energy","14/02/2012",67408371
"HIL","HILLS LIMITED","Technology Hardware & Equipment","30/06/1962","SUSPENDED"
"HIO","HAWSONS IRON LTD","Materials","14/11/2007",38600984
"HIQ","HITIQ LIMITED","Health Care Equipment & Services","16/06/2021",6402703
"HIT","HITECH GROUP AUSTRALIA LIMITED","Commercial & Professional Services","17/04/2000",75960000
"HLA","HEALTHIA LIMITED","Health Care Equipment & Services","11/09/2018",149304456
"HLI","HELIA GROUP LIMITED","Financial Services","20/05/2014",1172180755
"HLO","HELLOWORLD TRAVEL LIMITED","Consumer Services","13/09/2000",438728801
"HLS","HEALIUS LIMITED","Health Care Equipment & Services","03/07/1998",1617940676
"HLX","HELIX RESOURCES LIMITED","Materials","22/05/1986",11615729
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","Not Applic","14/11/2018",533109639
"HMC","HMC CAPITAL LIMITED","Equity Real Estate Investment Trusts (REITs)","14/10/2019",1762398204
"HMD","HERAMED LIMITED","Health Care Equipment & Services","12/12/2018",20404536
"HMG","HAMELIN GOLD LIMITED","Materials","05/11/2021",17325000
"HMI","HIREMII LIMITED","Commercial & Professional Services","11/05/2021",5862783
"HMX","HAMMER METALS LIMITED","Materials","25/02/2003",57378144
"HMY","HARMONEY CORP LIMITED","Financial Services","19/11/2020",37575567
"HNG","HANCOCK & GORE LTD","Capital Goods","24/08/1971",67608698
"HNR","HANNANS LTD","Materials","05/12/2003",37093160
"HOR","HORSESHOE METALS LIMITED","Materials","29/07/2010",9008701
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","Household & Personal Products","14/12/2021",9530451
"HPG","HIPAGES GROUP HOLDINGS LTD","Media & Entertainment","12/11/2020",121795945
"HPI","HOTEL PROPERTY INVESTMENTS","Equity Real Estate Investment Trusts (REITs)","10/12/2013",596492367
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","Food, Beverage & Tobacco","14/12/1989",6141037
"HPR","HIGH PEAK ROYALTIES LIMITED","Energy","30/03/2007",13582166
"HRE","HEAVY RARE EARTHS LIMITED","Class Pend","24/08/2022",6690965
"HRN","HORIZON GOLD LIMITED","Materials","21/12/2016",43813574
"HRZ","HORIZON MINERALS LIMITED","Materials","06/02/1992",27879347
"HSN","HANSEN TECHNOLOGIES LIMITED","Software & Services","01/06/2000",985400347
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","Transportation","24/06/1999",4187897
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","Telecommunication Services","17/08/1999",705770446
"HTG","HARVEST TECHNOLOGY GROUP LTD","Technology Hardware & Equipment","12/05/2016",25477318
"HTM","HIGH-TECH METALS LTD","Materials","23/01/2023",6239602
"HUB","HUB24 LIMITED","Financial Services","05/07/2007",2167962191
"HUM","HUMM GROUP LIMITED","Financial Services","12/12/2006",229408511
"HVM","HAPPY VALLEY NUTRITION LIMITED","Food, Beverage & Tobacco","23/01/2020","SUSPENDED"
"HVN","HARVEY NORMAN HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/09/1987",4560384354
"HVY","HEAVY MINERALS LIMITED","Materials","14/09/2021",9796006
"HXG","HEXAGON ENERGY MATERIALS LIMITED","Materials","30/10/2008","SUSPENDED"
"HXL","HEXIMA LIMITED.","Pharmaceuticals, Biotechnology & Life Sciences","01/12/2020",4008951
"HYD","HYDRIX LIMITED","Technology Hardware & Equipment","11/05/2001",7118128
"HYT","HYTERRA LTD","Energy","14/12/2005",12896166
"HZN","HORIZON OIL LIMITED","Energy","30/06/1981",236212837
"HZR","HAZER GROUP LIMITED","Materials","02/12/2015",100561808
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","Insurance","08/08/2000",14277191456
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","Financial Services","14/01/1987",36402707
"IBC","IRONBARK CAPITAL LIMITED","Not Applic","02/04/1987",50442726
"IBG","IRONBARK ZINC LTD","Materials","16/08/2006",13201058
"IBX","IMAGION BIOSYSTEMS LIMITED","Health Care Equipment & Services","22/06/2017",20536710
"ICE","ICETANA LIMITED","Software & Services","23/12/2019",10365078
"ICG","INCA MINERALS LIMITED","Materials","19/06/2008",18915389
"ICI","ICANDY INTERACTIVE LIMITED","Media & Entertainment","04/02/2016",73821313
"ICL","ICENI GOLD LIMITED","Materials","14/04/2021",25028571
"ICN","ICON ENERGY LIMITED","Energy","22/09/1997",3072055
"ICR","INTELICARE HOLDINGS LIMITED","Health Care Equipment & Services","25/05/2020",2738033
"ID8","IDENTITII LIMITED","Software & Services","17/10/2018",4894365
"IDA","INDIANA RESOURCES LIMITED","Materials","17/07/1986",38568676
"IDT","IDT AUSTRALIA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/02/1991",23810045
"IDX","INTEGRAL DIAGNOSTICS LIMITED","Health Care Equipment & Services","21/10/2015",717730423
"IEC","INTRA ENERGY CORPORATION LIMITED","Energy","04/07/2007",8103908
"IEL","IDP EDUCATION LIMITED","Consumer Services","26/11/2015",6404516215
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","Real Estate Management & Development","11/03/1993",4359602
"IFL","INSIGNIA FINANCIAL LTD","Financial Services","05/12/2003",1835397130
"IFM","INFOMEDIA LTD","Software & Services","16/08/2000",618169615
"IFT","INFRATIL LIMITED.","Utilities","30/08/2010",7478690983
"IG6","INTERNATIONAL GRAPHITE LIMITED","Capital Goods","07/04/2022",33857458
"IGL","IVE GROUP LIMITED","Media & Entertainment","16/12/2015",337653182
"IGN","IGNITE LIMITED","Commercial & Professional Services","16/01/1997",3852034
"IGO","IGO LIMITED","Materials","17/01/2002",11048537392
"IHL","INCANNEX HEALTHCARE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/05/2007",174571139
"IIQ","INOVIQ LTD","Health Care Equipment & Services","18/04/1991",74995242
"IKE","IKEGPS GROUP LIMITED","Technology Hardware & Equipment","21/11/2016",110416793
"ILA","ISLAND PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/04/2021",8045578
"ILT","ILTANI RESOURCES LIMITED.","Materials","30/06/2023",11895527
"ILU","ILUKA RESOURCES LIMITED","Materials","30/06/1962",4545556640
"IMA","IMAGE RESOURCES NL","Materials","04/07/2002",108341093
"IMB","INTELLIGENT MONITORING GROUP LIMITED","Commercial & Professional Services","03/03/1994",44892710
"IMC","IMMURON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/04/1999",17312674
"IMD","IMDEX LIMITED","Materials","24/09/1987",971285311
"IME","IMEXHS LIMITED","Health Care Equipment & Services","14/12/2005",24931358
"IMI","INFINITY MINING LIMITED","Materials","22/12/2021",18019519
"IMM","IMMUTEP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/06/1988",385874518
"IMR","IMRICOR MEDICAL SYSTEMS INC.","Health Care Equipment & Services","30/08/2019",64214136
"IMU","IMUGENE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/11/1993",603765676
"INA","INGENIA COMMUNITIES GROUP","Equity Real Estate Investment Trusts (REITs)","01/07/2004",1671091382
"IND","INDUSTRIAL MINERALS LTD","Materials","13/07/2021",36024800
"INF","INFINITY LITHIUM CORPORATION LIMITED","Materials","15/04/2011",53198091
"ING","INGHAMS GROUP LIMITED","Food, Beverage & Tobacco","07/11/2016",1033269291
"INL","INNLANZ LIMITED","Consumer Discretionary Distribution & Retail","22/02/2019",8458117
"INP","INCENTIAPAY LIMITED","Media & Entertainment","09/09/2014",8855445
"INR","IONEER LTD","Materials","19/12/2007",696106221
"INV","INVESTSMART GROUP LIMITED","Financial Services","21/04/2005",20476784
"IOD","IODM LIMITED","Software & Services","18/11/2003",205850885
"IOU","IOUPAY LIMITED","Media & Entertainment","12/10/2000","SUSPENDED"
"IPB","IPB PETROLEUM LIMITED","Energy","30/04/2013",5086102
"IPC","IMPERIAL PACIFIC LIMITED","Financial Services","28/07/1971",5685878
"IPD","IMPEDIMED LIMITED","Health Care Equipment & Services","24/10/2007",403756311
"IPG","IPD GROUP LTD","Capital Goods","17/12/2021",411101198
"IPH","IPH LIMITED","Commercial & Professional Services","19/11/2014",1869451682
"IPL","INCITEC PIVOT LIMITED","Materials","28/07/2003",5710141585
"IPT","IMPACT MINERALS LIMITED","Materials","29/11/2006",45515262
"IPX","IPERIONX LIMITED","Materials","16/04/2018",216713250
"IR1","IRIS METALS LIMITED","Materials","23/09/2021",174556200
"IRD","IRON ROAD LIMITED","Materials","12/06/2008",71006450
"IRE","IRESS LIMITED","Software & Services","03/11/2000",1948214214
"IRI","INTEGRATED RESEARCH LIMITED","Software & Services","13/12/2000",72693889
"IRX","INHALERX LIMITED","Health Care Equipment & Services","11/01/2017",6831610
"IS3","I SYNERGY GROUP LIMITED","Software & Services","30/03/2017",3179884
"ITM","ITECH MINERALS LTD","Materials","21/10/2021",29934973
"IVC","INVOCARE LIMITED","Consumer Services","04/12/2003",1782031267
"IVO","INVIGOR GROUP LIMITED","Media & Entertainment","03/12/1999","SUSPENDED"
"IVR","INVESTIGATOR RESOURCES LTD","Materials","03/04/2007",73295671
"IVT","INVENTIS LIMITED","Commercial & Professional Services","14/04/1999",2518353
"IVX","INVION LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","15/02/2010",44951425
"IVZ","INVICTUS ENERGY LTD","Energy","19/01/2012",182605085
"IXC","INVEX THERAPEUTICS LTD","Pharmaceuticals, Biotechnology & Life Sciences","05/07/2019",13527693
"IXR","IONIC RARE EARTHS LIMITED","Materials","10/12/1999",86814308
"IXU","IXUP LIMITED","Software & Services","15/11/2017",62129561
"JAL","JAMESON RESOURCES LIMITED","Materials","18/12/2007",19575555
"JAN","JANISON EDUCATION GROUP LIMITED","Software & Services","12/09/2000",107481976
"JAT","JATCORP LIMITED","Consumer Discretionary Distribution & Retail","30/01/2008",27477470
"JAV","JAVELIN MINERALS LIMITED","Materials","09/10/2012",9454153
"JAY","JAYRIDE GROUP LIMITED","Transportation","29/01/2018",22400158
"JBH","JB HI-FI LIMITED","Consumer Discretionary Distribution & Retail","23/10/2003",4838028659
"JCS","JCURVE SOLUTIONS LTD","Software & Services","08/12/2000",13790424
"JDO","JUDO CAPITAL HOLDINGS LIMITED","Banks","01/11/2021",1459286231
"JGH","JADE GAS HOLDINGS LIMITED","Materials","13/02/1995",69380704
"JHG","JANUS HENDERSON GROUP PLC","Financial Services","27/10/2008",7633561465
"JHX","JAMES HARDIE INDUSTRIES PLC","Materials","15/10/2001",17816148640
"JIN","JUMBO INTERACTIVE LIMITED","Consumer Services","14/06/1972",912026713
"JLG","JOHNS LYNG GROUP LIMITED","Capital Goods","26/10/2017",1464833612
"JMS","JUPITER MINES LIMITED.","Materials","18/04/2018",391798207
"JNO","JUNO MINERALS LIMITED","Materials","14/05/2021",11053098
"JPR","JUPITER ENERGY LIMITED","Energy","12/11/2003",27056703
"JRL","JINDALEE RESOURCES LIMITED","Materials","11/07/2002",107011772
"JRV","JERVOIS GLOBAL LIMITED","Materials","01/12/1980",140154511
"JTL","JAYEX TECHNOLOGY LIMITED","Health Care Equipment & Services","17/12/2015",2531507
"JXT","JAXSTA LTD","Software & Services","21/09/2010",23581797
"JYC","JOYCE CORPORATION LTD","Consumer Discretionary Distribution & Retail","17/12/1986",71293079
"K2F","K2FLY LIMITED","Software & Services","19/02/2008",18408054
"KAI","KAIROS MINERALS LIMITED","Materials","30/05/1973",56786431
"KAIN","KAIROS MINERALS LIMITED","Materials","30/05/1973",56786431
