exercise_img,title,exercise_info,how_to,benefits,muscle_groups,equipment,muscle_img,muscle_worked
/user/downloads/Front-and-Back-Neck-Stretch.gif,Front and Back Neck Stretch,,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Semispinalis Capitis': '100%', 'Splenius Capitis ': '100%', 'Longissimus Capitis': '100%', 'Platysma': '100%', 'Sternothyroideus': '100%', 'Omohyoid': '100%', 'Sternocleidomastoid': '100%', 'Scalene': '100%', 'Trapezius': '100%', 'Splenius Cervicis': '100%'}"
/user/downloads/Chin-Tuck.gif,Chin Tuck,,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Scalene': '100%', 'Semispinalis Capitis': '100%', 'Splenius Capitis ': '100%', 'Longissimus Capitis': '100%', 'Sternothyroideus': '100%', 'Omohyoid': '100%', 'Sternocleidomastoid': '100%', 'Splenius Cervicis': '100%'}"
/user/downloads/Prone-Cervical-Extension.gif,Prone Cervical Extension,,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",,
/user/downloads/Kneeling-Neck-Stretch.gif,Kneeling Neck Stretch,,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Splenius': '100%', 'Trapezius, Upper': '80%', 'Levator Scapulae': '80%', 'Sternocleidomastoid': '80%'}"
/user/downloads/Weighted-Neck-Harness-Extension.gif,Weighted Neck Harness Extension,,,,"{'primary': 'Neck, '}","Full Gym, ",,
/user/downloads/Lying-Weighted-Neck-Flexion.gif,Lying Weighted Neck Flexion,,,,"{'primary': 'Neck, '}","Dumbbells, Full Gym, ",,
/user/downloads/Lying-Weighted-Neck-Extension.gif,Lying Weighted Neck Extension,,,,"{'primary': 'Neck, '}","Dumbbells, Full Gym, ",,
/user/downloads/Lever-Neck-Right-Side-Flexion-plate-loaded.gif,Lever Neck Right Side Flexion (plate loaded),,,,"{'primary': 'Neck, '}","Full Gym, Machine, ",,
/user/downloads/Lever-Neck-Extension-plate-loaded.gif,Lever Neck Extension (plate loaded),,,,"{'primary': 'Neck, '}","Full Gym, Machine, ",,
/user/downloads/Cable-Seated-Neck-Flexion-with-head-harness.gif,Cable Seated Neck Flexion with head harness,,,,"{'primary': 'Neck, '}","Cable, Full Gym, ",,
/user/downloads/Cable-Seated-Neck-Extension-with-head-harness.gif,Cable Seated Neck Extension with head harness,,,,"{'primary': 'Neck, '}","Cable, Full Gym, ",,
/user/downloads/Sphinx-Stretch.gif,Sphinx Stretch,,,,"{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Sphinx-pose-muscle-worked-300x300.png,"{'Target - Erector Spinae': '100%', 'Trapezius': '75%', 'Abdominal': '75%', 'Chest': '75%'}"
/user/downloads/Floor-Hyperextension-1.gif,Floor Hyperextension,,,,"{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/cat-cow-pose-muscle-worked-300x300.png,"{'Target - Erector Spinae': '100%', 'Trapezius': '75%', 'Splenius': '75%', 'Abdominal': '75%'}"
/user/downloads/abdominal-stretch.gif,Bhujangasana | Cobra Abdominal Stretch,,,,"{'primary': 'Abs, Neck, Yoga, '}","Full Gym, NO EQUIPMENT, ",,
/user/downloads/Fish-Pose-Matsyasana.gif,Fish Pose,,,,"{'primary': 'Abs, Chest, Neck, Yoga, '}","Full Gym, NO EQUIPMENT, ",,
/user/downloads/Superman-exercise.gif,Superman,,,,"{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Superman-exercise-muscles-worked-300x300.png,"{'Target - Erector Spinae ': '100%', 'Abs': '75%', 'Hamstrings': '75%', 'Gluteus Maximus': '75%', 'Trapezius': '75%', 'Deltoid': '75%', 'Splenius': '75%'}"
/user/downloads/overhead-shrug.gif,Overhead Shrug,,,,"{'primary': 'Trapezius, '}","Barbell, Full Gym, ",/user/downloads/Overhead-Shrug-Muscles-Worked--300x300.png,"{'Trapezius': '100%', 'Levator Scapulae': '80%', 'Rhomboids': '80%', 'Stabilizers - Anterior Deltoid': '80%', 'Stabilizers - Lateral Deltoid': '80%', 'Stabilizers - Erectos Spinae': '80%'}"
/user/downloads/Dumbbell-Seated-Gittleson-Shrug.gif,Gittleson Shrug,,,,"{'primary': 'Neck, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/45-Degree-Incline-Row.gif,45 Degree Incline Row,,,,"{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Brachialis': '75%', 'Dynamic Stabilizers - Biceps Brachii': '75%'}"
/user/downloads/Dumbbell-Shrug.gif,Dumbbell Shrug,,,,"{'primary': 'Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Lateral Deltoid': '60%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Cable-Shrug.gif,Cable Shrug,,,,"{'primary': 'Trapezius, '}","Cable, Full Gym, ",/user/downloads/shrug-muscles-worked-300x300.png,"{'Target - Trapezius': '100%', 'Synergists - Levator Scapulae': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Barbell-Shrug.gif,Barbell Shrug,,,,"{'primary': 'Trapezius, '}","Barbell, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Behind-The-Back-Barbell-Shrug-Reverse-Barbell-Shrug.gif,Behind The Back Barbell Shrug,,,,"{'primary': 'Trapezius, '}","Barbell, Full Gym, ",,
/user/downloads/Dumbbell-Incline-Shrug.gif,Dumbbell Incline Shrug,,,,"{'primary': 'Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/shrug-muscles-worked-300x300.png,"{'Target - Trapezius': '100%', 'Synergists - Levator Scapulae': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Dumbbell-Decline-Shrug.gif,Prone Incline Shrug,,,,"{'primary': 'Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/shrug-muscles-worked-300x300.png,"{'Target - Trapezius': '100%', 'Synergists - Levator Scapulae': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Lever-Shrug.gif,Lever Shrug,,,,"{'primary': 'Trapezius, '}","Full Gym, Machine, ",/user/downloads/shrug-muscles-worked-300x300.png,"{'Target - Trapezius': '100%', 'Synergists - Levator Scapulae': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Rear-Delt-Machine-Flys.gif,Rear Delt Fly Machine,,,,"{'primary': 'Shoulders, Trapezius, '}","Full Gym, Machine, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%'}"
/user/downloads/Lever-Gripless-Shrug.gif,Lever Gripless Shrug,,,,"{'primary': 'Trapezius, '}","Full Gym, Machine, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/cable-rear-delt-fly.gif,Cable Rear Delt Fly,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, Resistance Band, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%'}"
/user/downloads/Bent-Over-Lateral-Raise.gif,Bent Over Lateral Raise,,,,"{'primary': 'Shoulders, Trapezius, Shoulders, '}","Dumbbells, Full Gym, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%'}"
/user/downloads/Cable-Upright-Row.gif,Cable Upright Row,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, ",/user/downloads/barbell-upright-row-300x300.png,"{'Target - Lateral Deltoid': '100%', 'Synergists - Trapezius': '75%', 'Synergists - Supraspinatus': '75%', 'Synergists - Anterior Deltoid': '75%', 'Synergists - İnfraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Biceps': '75%', 'Synergists - Serratus Anterior': '75%', 'Stabilizers - Levator Scapulae': '60%'}"
/user/downloads/Face-Pull.gif,Face Pull,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, ",/user/downloads/muscle-worked-in-the-face-pull-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Rhomboids': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Half-Kneeling-High-Cable-Row-Rope.gif,Half Kneeling High Cable Row Rope,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, ",/user/downloads/muscle-worked-in-the-face-pull-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Rhomboids': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Dumbbell-Raise.gif,Dumbbell Raise,,,,"{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-upright-row-300x300.png,"{'Target - Lateral Deltoid': '100%', 'Synergists - Trapezius': '75%', 'Synergists - Supraspinatus': '75%', 'Synergists - Anterior Deltoid': '75%', 'Synergists - İnfraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Biceps': '75%', 'Synergists - Serratus Anterior': '75%', 'Stabilizers - Levator Scapulae': '60%'}"
/user/downloads/Dumbbell-Upright-Row.gif,Dumbbell Upright Row,,,,"{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-upright-row-300x300.png,"{'Target - Lateral Deltoid': '100%', 'Synergists - Trapezius': '75%', 'Synergists - Supraspinatus': '75%', 'Synergists - Anterior Deltoid': '75%', 'Synergists - İnfraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Biceps': '75%', 'Synergists - Serratus Anterior': '75%', 'Stabilizers - Levator Scapulae': '60%'}"
/user/downloads/Bodyweight-Military-Press.gif,Bodyweight Military Press,,,,"{'primary': 'Shoulders, Trapezius, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/shoulder-press-muscle-worked-300x300.png,"{'Target - Anterior Deltoid': '100%', 'Synergists - Supraspinatus': '75%', 'Synergists - Triceps ': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Serratus Anterior': '75%', 'Stabilizers - Levatos Scapula': '55%'}"
/user/downloads/Kneeling-High-Pulley-Row.gif,Kneeling High Pulley Row,,,,"{'primary': 'Back / Wing, Trapezius, '}","Cable, Full Gym, ",,
/user/downloads/Barbell-Upright-Row.gif,Ez Bar Upright Row,,,,"{'primary': 'Shoulders, Trapezius, '}","Barbell, Full Gym, ",/user/downloads/barbell-upright-row-300x300.png,"{'Target - Lateral Deltoid': '100%', 'Synergists - Trapezius': '75%', 'Synergists - Supraspinatus': '75%', 'Synergists - Anterior Deltoid': '75%', 'Synergists - İnfraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Biceps': '75%', 'Synergists - Serratus Anterior': '75%', 'Stabilizers - Levator Scapulae': '60%'}"
/user/downloads/Band-pull-apart.gif,Band Pull-Apart,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, Resistance Band, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%'}"
/user/downloads/bent-over-reverse-cable-fly.gif,Bent Over Reverse Cable Fly,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, Resistance Band, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%'}"
/user/downloads/Bent-Over-Barbell-Reverse-Raise.gif,Bent-Over Barbell Reverse Raise,,,,"{'primary': 'Shoulders, Trapezius, '}","Barbell, Full Gym, ",/user/downloads/Bent-Over-Barbell-Reverse-Raise-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Pectoralis Major': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Teres Major': '75%', 'Stabilizers - Triceps': '55%', 'Stabilizers - Latissimus Dorsi': '55%', 'Stabilizers - Levator Scapulae': '55%'}"
/user/downloads/Barbell-Rear-Delt-Raise.gif,Barbell Rear Delt Raise,,,,"{'primary': 'Shoulders, Trapezius, '}","Barbell, Full Gym, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Infraspinatus': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Biceps Brachii': '75%', 'Synergists - Brachioradialis': '75%'}"
/user/downloads/smith-machine-shrug.gif,Smith Machine Shrug,,,,"{'primary': 'Trapezius, '}","Full Gym, Machine, ",,
/user/downloads/Dumbbell-Reverse-Fly.gif,Incline Dumbbell Reverse Fly,,,,"{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%'}"
/user/downloads/Incline-Dumbbell-Y-Raise.gif,Incline Dumbbell Y-Raise,,,,"{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Deltoids (Posterior, Lateral)': '100%', 'Synergists - Trapezius (Lower, Middle)': '85%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Anterior Deltoid': '75%', 'Synergists - Supraspinatus': '75%', 'Synergists - Rhomboids': '75%', 'Synergists - Serratus Anterior': '75%', 'Stabilizers - Levator Scapula': '75%', 'Stabilizers -Upper Trapezius': '75%'}"
/user/downloads/Dumbbell-Incline-T-Raise.gif,Dumbbell Incline T-Raise,,,,"{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%'}"
/user/downloads/Swimming.gif,Swimming,,,,"{'primary': 'Back / Wing, Erector Spinae, Hip, Trapezius, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Swimming-muscle-worked-300x300.png,"{'Target - Abdominal': '100%', 'Hips': '80%', 'Erector Spinae': '80%', 'Hamstring': '70%', 'Shoulder': '60%', 'Back': '60%', 'Leg': '60%'}"
/user/downloads/Bent-Over-Rear-Delt-Fly-Gymstick.gif,Bent Over Rear Delt Fly | Gymstick,,,,"{'primary': 'Shoulders, Trapezius, '}","Full Gym, Gymstick, Resistance Band, ",,
/user/downloads/Scapular-Protraction-and-Retraction.gif,Scapular Protraction and Retraction,,,,"{'primary': 'Back / Wing, Shoulders, Trapezius, '}","Full Gym, NO EQUIPMENT, ",,
/user/downloads/Cross-Cable-Face-Pull.gif,Cross Cable Face Pull,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, ",/user/downloads/muscle-worked-in-the-face-pull-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Brachialis': '75%', 'Synergists - Rhomboids': '75%', 'Stabilizers - Erector Spinae': '60%'}"
/user/downloads/Elbow-Reverse-Push-Up.gif,Elbow Reverse Push-Up,,,,"{'primary': 'Back / Wing, Trapezius, '}","Full Gym, NO EQUIPMENT, ",,
/user/downloads/Scapula-Dips.gif,Scapula Dips,,,,"{'primary': 'Shoulders, Trapezius, '}","Full Gym, NO EQUIPMENT, ",,
/user/downloads/Push-Up-Plus.gif,Push-Up Plus,,,,"{'primary': 'Chest, Trapezius, '}","Full Gym, NO EQUIPMENT, ",,
/user/downloads/Seated-Ballerina.gif,Seated Ballerina Exercise,,,,"{'primary': 'Shoulders, Trapezius, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/SCAPULAR-RETRACTION-muscle.png,"{'Shoulder': '100%', 'Scapula': '75%', 'Trapezius': '75%', 'Rhomboids': '75%', 'Chest': '60%'}"
/user/downloads/Seated-Scapular-Retraction-Exercise.gif,Seated Scapular Retraction Exercise,,,,"{'primary': 'Shoulders, Trapezius, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/SCAPULAR-RETRACTION-muscle.png,"{'Scapula': '100%', 'Trapezius': '75%', 'Rhomboids': '75%', 'Shoulder': '75%', 'Chest': '60%'}"
/user/downloads/Roll-Rhomboids.gif,Foam Roller Rhomboids,,,,"{'primary': 'Back / Wing, Trapezius, '}","Foam Roller, Full Gym, ",,
/user/downloads/Foam-Roller-Upper-Back.gif,Foam Roller Upper Back,,,,"{'primary': 'Back / Wing, Trapezius, '}","Foam Roller, Full Gym, ",,
/user/downloads/Scapula-Pull-up.gif,Scapula Pull-up,,,,"{'primary': 'Back / Wing, Trapezius, Trapezius, '}","Full Gym, ",,
/user/downloads/Serratus-Wall-Slide-With-Foam-Roller.gif,Serratus Wall Slide With Foam Roller,,,,"{'primary': 'Shoulders, Trapezius, '}","Foam Roller, Full Gym, ",,
/user/downloads/Dip-Shrugs.gif,Dip Shrugs (Serratus Shrugs),,,,"{'primary': 'Trapezius, '}","Full Gym, Machine, ",,
/user/downloads/Wide-Grip-Barbell-Bent-Over-Row-Plus.gif,Wide Grip Barbell Bent Over Row Plus,,,,"{'primary': 'Back / Wing, Trapezius, '}","Barbell, Full Gym, ",,
/user/downloads/Wide-Grip-Alternate-Barbell-Bent-Over-Row-Plus.gif,Wide Grip Alternate Barbell Bent Over Row Plus,,,,"{'primary': 'Back / Wing, Trapezius, '}","Barbell, Full Gym, ",,
/user/downloads/One-Arm-Dumbbell-Upright-Row.gif,One-Arm Dumbbell Upright Row,,,,"{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",,
/user/downloads/cable-y-raise.gif,Cable Y Raise,,,,"{'primary': 'Shoulders, Trapezius, '}","Cable, Full Gym, ",,
