title,exercise_info,how_to,benefits,muscle_groups,equipment,muscle_img,muscle_worked,exercise_img
Front and Back Neck Stretch,,"Keep your head in a neutral position at all times.
Tilt your head straight back as far you can.
Interlock your fingers and place your hands on your forehead.
Slowly try to bring your head forward as though trying to touch your chest with your chin, and resist with your hands and arms.
Hold the position for 10-15 seconds and return to the starting position and then bend your head forward to reverse the movement, bringing your hands together behind your head to support them. Do this 3 to 4 times.","Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Semispinalis Capitis': '100%', 'Splenius Capitis ': '100%', 'Longissimus Capitis': '100%', 'Platysma': '100%', 'Sternothyroideus': '100%', 'Omohyoid': '100%', 'Sternocleidomastoid': '100%', 'Scalene': '100%', 'Trapezius': '100%', 'Splenius Cervicis': '100%'}",/user/downloads/Front-and-Back-Neck-Stretch.gif
Chin Tuck,,"How to Chin Tuck: While looking straight ahead, place two fingers on your chin, slightly tuck your chin and move your head back . Hold for 3-5 seconds and then release. Repeat 10 times.","Neck stretches are also involved in physical therapy that aims to rehabilitate the neck muscles, joints and bones. Neck stretches aims to increase the strength, tone and flexibility of the neck muscles. It also allows the ligaments on the neck joints to become more flexible and withstand increased stress to the area.
When the head and shoulders drift forward due to poor posture, some muscles in the chest and neck can shorten and become tight over time, which can perpetuate the poor posture that is causing neck pain. The neck stretching exercises can help loosen postural muscles and may reduce neck pain.","{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Scalene': '100%', 'Semispinalis Capitis': '100%', 'Splenius Capitis ': '100%', 'Longissimus Capitis': '100%', 'Sternothyroideus': '100%', 'Omohyoid': '100%', 'Sternocleidomastoid': '100%', 'Splenius Cervicis': '100%'}",/user/downloads/Chin-Tuck.gif
Prone Cervical Extension,,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",,,/user/downloads/Prone-Cervical-Extension.gif
Kneeling Neck Stretch,The kneeling neck stretch is an exercise that can help to relieve tension in the neck and upper back muscles. This stretch can improve flexibility in the neck and help to reduce pain and discomfort caused by poor posture or repetitive strain injuries.,,,"{'primary': 'Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Neck-Stretch-muscle-worked.png,"{'Splenius': '100%', 'Trapezius, Upper': '80%', 'Levator Scapulae': '80%', 'Sternocleidomastoid': '80%'}",/user/downloads/Kneeling-Neck-Stretch.gif
Weighted Neck Harness Extension,,,,"{'primary': 'Neck, '}","Full Gym, ",,,/user/downloads/Weighted-Neck-Harness-Extension.gif
Lying Weighted Neck Flexion,,,,"{'primary': 'Neck, '}","Dumbbells, Full Gym, ",,,/user/downloads/Lying-Weighted-Neck-Flexion.gif
Lying Weighted Neck Extension,,,,"{'primary': 'Neck, '}","Dumbbells, Full Gym, ",,,/user/downloads/Lying-Weighted-Neck-Extension.gif
Lever Neck Right Side Flexion (plate loaded),,,,"{'primary': 'Neck, '}","Full Gym, Machine, ",,,/user/downloads/Lever-Neck-Right-Side-Flexion-plate-loaded.gif
Lever Neck Extension (plate loaded),,,,"{'primary': 'Neck, '}","Full Gym, Machine, ",,,/user/downloads/Lever-Neck-Extension-plate-loaded.gif
Cable Seated Neck Flexion with head harness,,,,"{'primary': 'Neck, '}","Cable, Full Gym, ",,,/user/downloads/Cable-Seated-Neck-Flexion-with-head-harness.gif
Cable Seated Neck Extension with head harness,,,,"{'primary': 'Neck, '}","Cable, Full Gym, ",,,/user/downloads/Cable-Seated-Neck-Extension-with-head-harness.gif
Sphinx Stretch,,"Hold for up to 10 breaths. To release, exhale as you slowly lower your torso, chest, and head to the floor.","The Sphinx is a wonderful yoga pose to open the upper body and gain more strength and mobility in the mid-back and the thoracic spine. This move strengthens the erector spinae muscles that provide support to the spine. Strong back muscles can prevent postural deviations that lead to poor posture and discomfort, such as kyphosis (“hunchback”). Sphinx movement improves your posture by extending your back muscles and reducing the tension between your lower back and core areas. It also enhances your lower back’s strength, making it easier to stay upright throughout the day.","{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Sphinx-pose-muscle-worked-300x300.png,"{'Target - Erector Spinae': '100%', 'Trapezius': '75%', 'Abdominal': '75%', 'Chest': '75%'}",/user/downloads/Sphinx-Stretch.gif
Floor Hyperextension,,"1- Lie face down with your legs together. Place your hands by the side of your head, keeping your shoulders relaxed and your core active. Breathe in.

2- Exhale as you lift your upper body off the floor. Perform the movement slowly, controlling it with your core. Be careful not to jerk your head or strain the muscles of your lower back or neck.

3- Breathe in, hold briefly at the top of the movement, maintaining an active core, then slowly and gently lower yourself back to the start position.","This move strengthens the erector spinae muscles that provide support to the spine. Strong back muscles can prevent postural deviations that lead to poor posture and discomfort, such as kyphosis (“hunchback”). Floor hyperextension movement improves your posture by extending your back muscles and reducing the tension between your lower back and core areas. It also enhances your lower back’s strength, making it easier to stay upright throughout the day.","{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/cat-cow-pose-muscle-worked-300x300.png,"{'Target - Erector Spinae': '100%', 'Trapezius': '75%', 'Splenius': '75%', 'Abdominal': '75%'}",/user/downloads/Floor-Hyperextension-1.gif
Bhujangasana | Cobra Abdominal Stretch,,"To perform a cobra abdominal stretch, start by lying face-down on a mat with your hands placed flat under your shoulders.

Slowly press into your hands and straighten your arms, lifting your chest and head off the ground.

Keep your elbows close to your body and hold this position for a few seconds, breathing deeply.

Then, release back down to the starting position. Repeat several times.

Note:

It is important to perform the cobra pose carefully and gradually, avoiding any sudden movements that could cause pain or injury. If you experience discomfort during the stretch, stop and speak with a healthcare professional. Additionally, it is important to incorporate regular stretching into your overall exercise program to maintain flexibility and prevent injury.","The cobra abdominal stretch is a yoga pose that helps to stretch the muscles in the abdominal region, including the rectus abdominis, and the muscles in the lower back. It can help improve posture and flexibility, as well as alleviate back pain and stiffness.","{'primary': 'Abs, Neck, Yoga, '}","Full Gym, NO EQUIPMENT, ",,,/user/downloads/abdominal-stretch.gif
Fish Pose,,,,"{'primary': 'Abs, Chest, Neck, Yoga, '}","Full Gym, NO EQUIPMENT, ",,,/user/downloads/Fish-Pose-Matsyasana.gif
Superman,,,"Superman exercises are an excellent workout that strengthens your core, lower back, glutes, and hamstrings.
This move strengthens the erector spinae muscles that provide support to the spine. Strong back muscles can prevent postural deviations that lead to poor posture and discomfort, such as kyphosis (“hunchback”). Superman movement improves your posture by extending your back muscles and reducing the tension between your lower back and core areas. It also enhances your lower back’s strength, making it easier to stay upright throughout the day.
It’s also beneficial for lower back health as some lower back pain can stem from weak glutes and tight hamstrings.","{'primary': 'Erector Spinae, Neck, '}","Full Gym, NO EQUIPMENT, ",/user/downloads/Superman-exercise-muscles-worked-300x300.png,"{'Target - Erector Spinae ': '100%', 'Abs': '75%', 'Hamstrings': '75%', 'Gluteus Maximus': '75%', 'Trapezius': '75%', 'Deltoid': '75%', 'Splenius': '75%'}",/user/downloads/Superman-exercise.gif
Overhead Shrug,The overhead shrug is a weightlifting exercise that primarily targets the trapezius muscles in the upper back and shoulders. The barbell overhead shrug is a variation of the classic barbell shrug and is used to target traps. The difference in the exercise is that it transforms the shrug from a pulling exercise to a pushing exercise.,"Step 1: Set Up Properly: Stand straight with feet about shoulder-width apart. Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Lift the barbell overhead, fully extending your arms and keeping the bar directly above your head. Make sure to keep your shoulders down and your back straight.

Step 2: Lift your scapula up: Keeping your arms straight and your shoulders down, shrug your shoulders up toward your ears. Focus on engaging the upper back and shoulder muscles, and lift or elevate your scapula while you are pressing the weight overhead.

Step 3: Hold the Top Position: Hold the top position for a second or two, then lower your shoulders back down to the starting position. Make sure to keep your back straight and your core engaged throughout the movement.

Common Mistakes to Avoid:

Using too much weight: It’s important to start with a light weight and gradually increase as you become comfortable with the movement. Using too much weight can lead to poor form and increase the risk of injury.

Rounding the back: Keep your back straight throughout the exercise to avoid any unnecessary strain on your lower back.

Rushing through the movement: Take your time with each rep and focus on proper form. Rushing through the exercise can lead to poor form and increase the risk of injury.","1- Increased Muscle Mass: Overhead shrugs are an effective exercise for building muscle mass in the trapezius muscles. As you lift the weight overhead and engage your upper back muscles, you create tension in the trapezius muscles, causing them to contract and grow stronger.

2- Improved Shoulder Stability: Overhead shrugs can help improve shoulder stability by strengthening the muscles that support the shoulder joint. This can be particularly beneficial for athletes or individuals who engage in activities that require a high level of shoulder mobility and stability.

3- Improved Posture: Overhead shrugs can help improve posture by strengthening the muscles that support the spine and upper back. By building strength in the trapezius muscles, you can help to counteract the effects of slouching or sitting for long periods of time.

In conclusion, Barbell overhead shrugs are a challenging but rewarding exercise that can benefit anyone looking to improve their upper body strength and posture.","{'primary': 'Trapezius, '}","Barbell, Full Gym, ",/user/downloads/Overhead-Shrug-Muscles-Worked--300x300.png,"{'Trapezius': '100%', 'Levator Scapulae': '80%', 'Rhomboids': '80%', 'Stabilizers - Anterior Deltoid': '80%', 'Stabilizers - Lateral Deltoid': '80%', 'Stabilizers - Erectos Spinae': '80%'}",/user/downloads/overhead-shrug.gif
Gittleson Shrug,,,"The Gittleson shrug is another variation of the dumbbell shrug used to build the trapezius muscles. The Gittleson shrug emphasizes the contraction of the upper trapezius muscle by isolating the muscle and working it in a one-way fashion.
Allow your loaded side shoulder to drop down as far as possible. This puts a stretch on your left upper trap and, because of the way you’re leaning, it also puts an intense isometric contraction in your right upper trap. Although it seems like a one-way exercise, an isometric contraction occurs on the other side as one side moves.
A strong and tight trapezius muscle supports your neck by preventing your head from falling forward and allows you to stand upright. It is a practical exercise that can be applied especially for those who work at the desk in the office.","{'primary': 'Neck, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Erector Spinae': '60%'}",/user/downloads/Dumbbell-Seated-Gittleson-Shrug.gif
45 Degree Incline Row,"The 45-degree incline row is a variation of the classic bent-over row exercise that targets the upper back muscles. In this exercise, the upper body is positioned at a 45-degree angle, which allows for a different angle of pull and increases the focus on the upper back muscles, particularly the posterior deltoid, rhomboids and trapezius muscles. The exercise is typically performed with dumbbells or a barbell, and involves pulling the weight towards the chest while keeping the elbows close to the body.","Set an adjustable bench at a 45-degree angle and lie face down with your chest against the bench, and your feet flat on the ground.
Pick up two dumbbells or a barbell with an overhand grip, and let your arms hang straight down towards the floor.
Exhale and lift the dumbbells or barbell towards your chest while keeping your elbows close to your body.
Pause for a second at the top of the movement and squeeze your shoulder blades together.
Inhale and lower the weight back down towards the starting position.
Repeat for the desired number of repetitions.
Progressive Overload: To build muscle and increase strength, it’s important to gradually increase the resistance or weight used during the exercise. The 45-degree incline row can be performed with dumbbells, barbells, or other types of resistance, allowing for progressive overload and muscle growth over time.","1- Enhances Muscle Activation: The 45-degree incline row is a compound exercise, which means it engages multiple muscle groups and joints. Compound exercises are effective for building overall strength and muscle mass, as they allow for more weight to be lifted and more muscles to be worked in a single movement. The 45-degree incline row can enhance muscle activation in the upper back muscles, leading to improved muscle growth and strength. By focusing on proper form and engaging the targeted muscles during the exercise, you can maximize the benefits of this exercise for muscle building and upper body strength.
2- Improves Upper Body Function: The 45-degree incline row is an effective exercise for building muscle and increasing upper body strength. Strong upper back muscles are essential for performing a variety of upper body movements, such as pull-ups, rows, and overhead presses. By improving upper back strength with the 45-degree incline row, you can enhance your overall upper body function and performance.
3- Improves Posture: Improving posture is a common goal for many people who are interested in maintaining good health and reducing the risk of pain or injury. Poor posture can lead to a number of health problems, including back and neck pain, headaches, and decreased mobility. Fortunately, the 45-degree incline row is a great exercise for improving posture, and here are some reasons why:
Targets the Upper Back Muscles: The 45-degree incline row is a great exercise for targeting the upper back muscles, including the rhomboids and trapezius. These muscles are responsible for keeping the shoulders back and down, which is an important component of good posture.
Emphasizes Scapular Retraction: During the 45-degree incline row, the scapulae (shoulder blades) are retracted, which helps to strengthen the muscles that hold the shoulders back and down. This can help to correct the rounded shoulders that are commonly associated with poor posture.
","{'primary': 'Shoulders, Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/Rear-Lateral-Dumbbell-Raise-musle-300x300.png,"{'Target - Posterior Deltoid': '100%', 'Synergists - Infraspinatus': '75%', 'Synergists - Teres Minor': '75%', 'Synergists - Lateral Deltoid': '75%', 'Synergists - Trapezius': '75%', 'Synergists - Rhomboids': '75%', 'Synergists - Brachioradialis': '75%', 'Synergists - Brachialis': '75%', 'Dynamic Stabilizers - Biceps Brachii': '75%'}",/user/downloads/45-Degree-Incline-Row.gif
Dumbbell Shrug,"Dumbbell shrugs are an exercise that primarily targets the trapezius muscles, which are located on the upper back and neck area. Overall, dumbbell shrugs are a simple yet effective exercise that can provide many benefits for your overall fitness. Whether you’re a beginner or an experienced gym-goer, adding dumbbell shrugs to your workout routine can help you achieve your fitness goals.","Dumbbell shrugs are a simple exercise that can provide great results if done with proper technique. Here are some tips on how to perfect your dumbbell shrug technique for maximum results:

Start with a light weight: It’s important to start with a light weight that you can comfortably control with proper form. As you get comfortable with the exercise, you can gradually increase the weight.
Stand up straight: Stand with your feet shoulder-width apart, and keep your back straight and your shoulders relaxed.
Hold the dumbbells correctly: Hold a dumbbell in each hand with your palms facing your body. Your arms should be straight down at your sides.
Raise your shoulders: Slowly lift your shoulders straight up towards your ears as high as possible, keeping your arms straight. Make sure to use your scapula and traps to lift the weight, not your biceps or your neck.
Hold the top position: Hold the top position for a moment, making sure to contract your traps fully.
Lower the dumbbells: Slowly lower the dumbbells back down to the starting position, keeping your arms straight.
Repeat for the desired number of reps: Aim for 3-4 sets of 10-15 reps.
It’s important to use a weight that you can control and maintain proper form throughout the exercise. You can also modify the exercise by using heavier weights, performing the exercise one arm at a time, or performing the exercise on a machine.","Dumbbell shrugs are an effective way to strengthen your trapezius muscles, which are responsible for stabilizing and moving your shoulder blades. Strong traps can also improve your posture and reduce the risk of shoulder injuries.

The trapezius muscles are composed of three parts: the upper traps, middle traps, and lower traps. Dumbbell shrugs primarily target the upper traps, which are responsible for elevating the shoulder blades and stabilizing the neck.

During a dumbbell shrug, you lift the weights by contracting your upper traps, which causes your shoulder blades to move upward. This movement also helps to stabilize the neck and prevent it from moving excessively during the exercise.

When you hold the top position of the shrug for a moment, you activate your traps fully, which can lead to muscle hypertrophy (i.e., muscle growth) over time. This muscle growth can lead to increased strength and improved posture.

However, it’s important to note that the middle and lower traps are also important for overall shoulder stability and posture. To fully target the trapezius muscles, it’s recommended to incorporate a variety of exercises that target all three parts of the muscle.

Here are some variations of dumbbell shrugs that you can incorporate into your workout routine:

Gittleson Shrugs: This variation targets one side of your body at a time, allowing you to focus on each side equally.

Wide-grip Barbell Shrugs: A wide grip can target the outer part of the traps, helping to broaden the upper back.

Behind The Back Barbell Shrugs: This variation involves shrugging your shoulders down and back instead of up, targeting the lower traps and rhomboid muscles.

Alternating Dumbbell Shrugs: This variation involves alternating between lifting one shoulder at a time, helping to improve muscle symmetry.

Overall, varying your dumbbell shrugs is important for optimal muscle growth and to prevent boredom and injury.","{'primary': 'Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Lateral Deltoid': '60%', 'Stabilizers - Erector Spinae': '60%'}",/user/downloads/Dumbbell-Shrug.gif
Cable Shrug,,,"It is an isolated exercise that develop the neck muscles. Strengthening your trapezius muscles helps stabilize your neck and back, as well as reduce the tension in your neck and shoulder muscles. If you’re looking to boost the strength of your shoulder, neck, or upper back muscles, or you want to improve your posture, you can add cable shrug to your workout routine.
Many of the movements that work the same muscle group may look alike, but they focus on different parts of the muscles because they are at different angles. If you want to build better muscle specifically, keep in mind that it is more beneficial to include exercises that focus on different aspects to your training program.","{'primary': 'Trapezius, '}","Cable, Full Gym, ",/user/downloads/shrug-muscles-worked-300x300.png,"{'Target - Trapezius': '100%', 'Synergists - Levator Scapulae': '75%', 'Stabilizers - Erector Spinae': '60%'}",/user/downloads/Cable-Shrug.gif
Barbell Shrug,,,"The focus of the barbell shrug exercise is the trapezius muscles. Barbell shrug is the most important exercise for developing strength in the trapezius muscles as it fully activates the muscle fibers in the upper back.
A strong and tight trapezius muscle supports your neck by preventing your head from falling forward and allows you to stand upright.","{'primary': 'Trapezius, '}","Barbell, Full Gym, ",/user/downloads/barbell-shrug-muscle-worked-300x300.png,"{'Target - Trapezius, Upper': '100%', 'Synergists - Levator Scapulae': '75%', 'Synergists - Trapezius, Middle': '75%', 'Stabilizers - Erector Spinae': '60%'}",/user/downloads/Barbell-Shrug.gif
Behind The Back Barbell Shrug,"Behind the back barbell shrugs are an exercise that primarily targets the trapezius muscles of the back. This exercise is performed by standing with your feet shoulder-width apart and holding a barbell behind your back with an pronated grip (palms facing back).
",,,"{'primary': 'Trapezius, '}","Barbell, Full Gym, ",,,/user/downloads/Behind-The-Back-Barbell-Shrug-Reverse-Barbell-Shrug.gif
Dumbbell Incline Shrug,,,"It is an isolated exercise that develop the neck muscles. Strengthening your trapezius muscles helps stabilize your neck and back, as well as reduce the tension in your neck and shoulder muscles. If you’re looking to boost the strength of your shoulder, neck, or upper back muscles, or you want to improve your posture, you can add Dumbbell incline shrug to your workout routine.
Many of the movements that work the same muscle group may look alike, but they focus on different parts of the muscles because they are at different angles. If you want to build better muscle specifically, keep in mind that it is more beneficial to include exercises that focus on different aspects to your training program.","{'primary': 'Trapezius, '}","Dumbbells, Full Gym, ",/user/downloads/shrug-muscles-worked-300x300.png,"{'Target - Trapezius': '100%', 'Synergists - Levator Scapulae': '75%', 'Stabilizers - Erector Spinae': '60%'}",/user/downloads/Dumbbell-Incline-Shrug.gif
